Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j11,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Kouao Koffi,DL,9,0,,,7.21,,13,13,15,15,13,13,15,15,4.75,0,5.36,494.38,8,0,32,0.8,0,0.8,0,0,1,0.75,0,0.94,581,0,2741,72.63,0,85.66,,2741,7,1000,0,0,0,5,4.5,4.5,5.5,5,5.5,5,3,6,6,5,5,6.5,5.5,7,6.5,5,0,4.5,4.5,6,5,4.5,5.5,6,5.5,5.5,6,6,5.5,4.5,6,6,0,0,2,,null,null,null,null,3,1,3,0.6975,339,11,7,51.02,9,null,null,22,8,12,10,21,10,59,4,4,2,null,-2,null,-7,null,8,118.19,-148.44,-14.99,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Colin Maxime,DL,3,-2,,3,10.81,5.41,3,4,3,3,5,5,6,6,4.5,4.67,4.5,481,6,3,6,0.84,0.58,0.84,0,0,0,1,1,1,461,270,461,76.83,90,76.83,,,null,1000,5,5,4,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,null,null,null,null,0,0,2,0.6145,295,5,4,45.83,3,null,null,18,8,6,3,11,10,67,1,1,1,null,-1,null,-4,null,7,94,-152.83,-22.3,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Sadibou Sané Sadibou,DC,1,-2,,1,1.5,0.9,1,1,1,1,3,3,1,1,4.5,0,4.5,504,1,0,1,0,0,0,0,0,0,1,0,1,45,0,45,45,0,45,,,null,1000,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.7857,16,1,null,50,null,null,null,2,null,null,null,null,1,3,null,null,null,null,null,null,null,null,null,22.5,-48,-7.7,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,🏠Hors groupe (3sem.)
Lô Aboubacar,DC,3,-3,,,,,6,8,10,10,6,6,6,6,4,0,4.71,423.5,2,0,7,0.71,0,0.57,0,0,0,0.5,0,0.14,74,0,87,37,0,12.43,,,null,1000,0,0,0,0,0,0,0,0,0,3.5,4.5,0,0,0,0,0,0,5,0,0,5,0,0,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,1,0,null,0.9834,46,null,null,50,2,null,null,null,1,null,null,2,3,1,null,null,null,null,-1,null,-4,null,null,28,-142.25,-14.75,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,Sursis
Jallow Ablie,MO,12,0,,15,20.72,1.5,13,13,13,13,24,24,12,12,5.5,5.3,5.91,513.83,6,5,27,1.1,1.1,0.98,2,1,5,0.5,0.6,0.85,317,289,1848,52.83,57.8,68.44,159,370,6.5,6,7,5,4,5,5.5,0,0,6.5,0,0,0,5.5,5.5,5.5,8,6,5,5.5,8,5,5.5,5,6.5,6.5,6,0,0,0,5.5,6,7.5,7,0,5,5.5,6.5,0,0,null,,null,1,null,null,12,11,3,0.8546,147,1,null,29.41,3,null,null,3,8,5,4,null,5,38,6,6,5,null,-3,null,-5,null,8,112.58,-56.5,1.38,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Camara Lamine,MD,10,1,,10,7.21,3.9,10,10,10,10,10,10,10,10,5.41,5.41,5.4,509.82,11,11,15,0.66,0.66,0.78,1,1,1,0.82,0.82,0.73,784,784,985,71.27,71.27,65.67,784,985,6.5,10,5.5,5.5,6.5,5.5,4.5,5.5,5.5,5.5,6,5.5,4,4.5,4.5,0,0,0,0,7,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,null,1,1,1,11,6,2,0.8043,505,10,18,48.72,17,null,null,28,26,18,16,10,11,129,16,16,11,null,-3,null,-8,null,25,167.27,-114.36,-7.08,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
N'Duquidi Joseph,MD,7,2,,7,0.6,0.3,7,7,7,7,,,7,7,5.25,5.13,05.06,480.83,6,4,17,0.42,0.25,0.43,0,0,0,0.67,0.75,0.35,384,290,610,64,72.5,35.88,,,null,1000,5,5,5.5,5,0,0,6,0,5,0,0,0,0,5,0,5,0,0,4.5,4.5,5,5,0,6,0,5,0,4.5,0,0,5,5,0,0,0,0,0,0,1.5,,null,null,null,null,2,1,null,0.5366,160,7,1,53.85,5,null,null,10,12,null,null,6,4,31,1,1,3,null,null,null,null,null,5,97.17,-64.33,-4.03,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,Sursis (6sem.)
Maïga Habib,MD,11,1,,,11.11,,15,15,21,26,11,11,15,15,5,0,5.4,491.6,5,0,26,0,0,0.55,0,0,1,0,0,0.54,78,0,1390,15.6,0,53.46,,1390,6.5,1000,0,0,0,0,5,0,5,5,5,5,0,5,5,5,5,5,0,5,5,0,5.5,6.5,5.5,0,5.5,5,5,6,5.5,5.5,6,6,7,0,5.5,6,0,0,null,,null,null,null,null,2,1,1,0.8676,58,2,2,45.45,2,null,null,3,4,1,1,1,1,10,null,null,1,null,1,null,-1,null,1,34.1,-20.7,-1.4,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,† Mollet
N'Doram Kévin,MD,9,0,,12,4.5,1.8,10,14,10,10,12,14,14,16,4.94,5,5.18,477.63,8,1,20,1.12,0,0.85,0,0,1,0.88,0,0.95,603,2,1602,75.38,2,80.1,,1602,6.5,1000,5,0,0,0,4.5,4,6,4,6,6.5,3.5,5,5.5,4.5,5.5,5,5.5,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,5,6.5,0,0,2,,null,null,1,null,3,2,1,0.7344,315,11,2,47.62,7,null,null,16,15,1,null,19,12,55,2,2,4,null,-1,1,-6,null,6,122,-112.19,-9.94,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Atta Arthur,MD,7,2,,,,,7,7,7,7,,,7,7,4.9,0,4.9,460.8,5,0,21,0.22,0,0.66,0,0,1,0.2,0,0.24,109,0,562,21.8,0,26.76,,562,7.5,1000,0,0,5,5,4.5,5,0,0,0,0,5,0,0,5,0,0,0,0,0,5,5,4.5,4.5,4.5,4.5,4.5,5,7.5,4.5,4.5,4.5,4.5,5.5,5,0,0,0,0,null,,null,null,null,null,0,0,null,0.7487,69,1,2,40,2,null,null,2,2,null,null,4,5,17,2,2,2,null,-5,null,-10,null,1,31.5,-36.8,-3.7,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Jean-Jacques Danley,MD,10,1,,10,0.3,0.3,10,10,10,10,10,10,10,10,4.86,4.86,5.23,477.18,11,11,35,0.74,0.74,0.74,0,0,0,0.82,0.82,0.86,829,829,2711,75.36,75.36,77.46,,,null,1000,6,5,5,5,4.5,5,5,5,5.5,4.5,3,5,6,0,5.5,5.5,4.5,7,5.5,5.5,5.5,4.5,6,5,6.5,5.5,5,5.5,4.5,5,6,6.5,5.5,5,4.5,4.5,0,0,1,,null,null,null,null,5,2,null,0.7659,344,12,10,43.28,10,null,null,17,22,8,8,10,15,69,4,4,5,null,-3,null,-8,1,12,102.95,-104.41,-7.73,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
N'Guessan Jean,MD,3,-3,,,,,8,9,10,10,7,7,8,9,4.5,0,5.3,481,1,0,23,0,0,0.81,0,0,0,0,0,0.83,5,0,1669,5,0,72.57,,,null,1000,0,0,0,0,0,0,0,0,0,0,4.5,0,0,5,4,5.5,5,4.5,5,4.5,7,5.5,6,5,4,6,6,5.5,6.5,6.5,5,4.5,6,5.5,5,0,0,0,null,,null,null,null,null,0,0,null,1,4,null,null,33.33,1,null,null,null,null,null,null,null,2,null,null,null,null,null,-1,null,-4,null,null,5,-22,-1.3,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Sabaly Cheikh,A,10,-4,,15,77.78,17.72,13,17,12,16,18,22,26,28,5.35,0,5.74,510.2,10,0,35,01.03,0,0.95,2,0,5,0.9,0,0.86,681,0,2501,68.1,0,71.46,341,500,6.5,5,0,6,6,5,4,4.5,5.5,6.5,5,7,4,7,7.5,5.5,6,5.5,5.5,6.5,6,4.5,6,5.5,5,6,6.5,5.5,5.5,6,4,6,6.5,8,5.5,5,7,5.5,0,0,3,,null,2,null,2,7,5,2,0.7746,306,5,10,42.59,10,null,null,18,21,5,5,4,11,76,4,4,8,null,-3,null,-8,1,19,137.23,-85.44,2.99,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Asoro Joel,A,10,2,,11,26.13,8.71,10,11,10,11,10,11,10,12,5.13,5.13,5.13,501.38,8,8,8,0.92,0.92,0.92,1,1,1,0.75,0.75,0.75,466,466,466,58.25,58.25,58.25,466,466,7,10,5,5.5,4,4.5,4.5,5,7,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,null,null,1,null,2,1,3,0.5622,163,2,7,48.05,10,null,null,10,5,6,4,4,4,61,3,3,11,null,-3,null,-5,null,17,94.33,-61.8,0.81,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Mbaye Malick,A,4,0,,,0.6,,4,4,5,5,4,4,4,4,5,0,5,480.33,3,0,5,0,0,0,0,0,0,0.33,0,0.2,142,0,152,47.33,0,30.4,,,null,1000,0,0,0,0,0,5,0,0,0,5,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,4,2,2,0.6218,75,null,1,45.83,5,null,null,1,4,9,7,2,6,18,2,2,1,null,-2,null,-5,1,3,94.17,-82.83,-2.73,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Diallo Papa Amadou,A,4,1,,,0.3,,4,4,4,4,4,4,4,4,4.75,0,4.67,485,2,0,3,0.35,0,0.29,0,0,0,0.5,0,0.33,74,0,83,37,0,27.67,,,null,1000,0,0,0,5,0,0,0,4.5,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.7895,30,1,1,42.86,null,null,null,2,1,null,null,null,1,13,1,1,null,null,-1,null,-1,null,4,33,-39,-2.95,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,🏠Hors groupe
Ibou Sané Ibou,A,1,-1,,1,0.3,0.3,1,1,1,1,3,3,2,2,4.75,5,4.75,468,2,1,2,0.35,0,0.35,0,0,0,0,0,0,24,20,24,12,20,12,,,null,1000,5,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,1,0.375,23,null,1,50,2,null,null,1,2,1,1,1,1,8,null,null,1,null,1,null,1,null,2,23.55,-17,-1.05,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Estupiñán Óscar,A,9,1,,12,9.91,0.9,10,12,10,10,10,10,11,11,4.5,0,4.5,446.6,5,0,5,0.35,0,0.35,0,0,0,0.8,0,0.8,255,0,255,51,0,51,,,null,1000,0,0,4.5,4.5,5,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,null,null,null,null,6,4,1,0.6859,90,null,4,46.51,6,null,null,3,5,1,null,null,2,28,1,1,4,null,-3,null,-5,null,3,36.38,-29,-0.72,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,† Incertain
Elisor Simon,A,8,0,,,0.9,,9,12,9,10,9,11,8,8,4.38,4.5,5.14,450.25,8,2,29,0.44,0,1.1,0,0,8,0.5,0.5,0.83,349,79,2087,43.63,39.5,71.97,,261,6,1000,4.5,4.5,0,4.5,3.5,5,4.5,4.5,4,0,0,5.5,7,3.5,6,7.5,6,7,5,5,4.5,6.5,6,4,4,5,6,4.5,4.5,4.5,7,5,0,0,0,0,0,0,2,,null,null,null,1,6,3,2,0.7834,134,null,1,37.35,8,null,null,4,7,1,1,4,5,48,5,5,11,null,-1,null,-3,null,13,33.92,-37.74,-1.84,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,
Tetteh Benjamin,A,7,-2,,,11.71,,14,22,22,26,10,10,9,9,4.3,0,4.3,449,5,0,5,0.27,0,0.27,0,0,0,0.2,0,0.2,164,0,164,32.8,0,32.8,,,null,1000,0,4.5,4,0,0,4.5,0,0,0,4.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,null,null,null,null,3,1,1,0.5794,75,null,2,38.71,4,null,null,null,2,null,null,1,4,28,null,null,2,null,-3,null,-6,null,4,21.86,-24.72,-1.3,0,FC Metz,FC Nantes,dim. 12/11 15:00,35.842293906810035,0.36358,0.37273,0.37103,Sursis (5sem.)
Descamps Rémy,G,7,-4,,11,32.73,19.22,8,12,7,8,17,18,11,18,6.1,0,6.1,559.8,5,0,5,0.96,0,0.96,0,0,0,1,0,1,450,0,450,90,0,90,,,null,1000,0,0,0,0,0,5.5,6.5,7.5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,null,null,0,0,null,,null,null,null,,null,17,9,null,null,null,null,null,9,null,null,null,null,15,1,null,1,null,null,188.6,-73,1.66,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Lafont Alban,G,13,0,,17,62.16,37.84,15,18,15,17,20,25,18,22,5.58,5.5,5.6,538.83,6,5,30,1.5,1.66,1.34,0,0,0,1,1,1,517,450,2677,86.17,90,89.23,,,null,1000,6,4,8,5.5,4,0,0,0,0,0,6,6,4,4,8,5,3,5,4.5,7,5,7,6,6,5,4,7,6,4,6,7,7,7.5,6,4.5,0,0,0,1,,null,null,null,null,0,0,null,,null,null,null,,null,15,3,null,null,null,null,null,6,null,null,null,null,12,-2,null,-5,null,null,122.33,-71.67,3.32,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Petric Denis,G,3,0,,,1.5,,3,4,4,4,4,4,3,3,4,0,4,499,1,0,1,0,0,0,0,0,0,0,0,0,23,0,23,23,0,23,,,null,1000,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,1,null,null,null,null,null,-1,null,-1,null,null,null,-40,-28.8,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Barbet Hugo,G,1,0,,1,4.2,3.3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,🏠Hors groupe (3sem.)
Bonelli Lucas,G,1,0,,1,4.8,3.6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,🏠Hors groupe (3sem.)
Cömert Eray,DC,13,3,,16,93.39,73.87,15,18,16,18,15,19,13,18,5.44,5.44,5.12,545.88,8,8,21,0.68,0.68,0.77,1,1,1,1,1,0.86,714,714,1606,89.25,89.25,76.48,714,1606,6,13,5,4.5,6,6,4.5,6,5.5,6,0,0,0,0,0,0,6.5,0,0,4.5,0,5,0,0,0,3.5,0,5,5.5,0,4,4.5,5,0,5,5,4.5,6,0,0,1,,null,null,null,null,2,1,null,0.902,486,15,8,58.14,5,null,null,27,21,null,null,40,9,41,null,null,null,null,1,null,-1,null,3,163.38,-119.62,-6.84,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,Sursis (4sem.)
Castelletto Jean-Charles,DC,9,1,,10,25.83,10.81,10,11,10,10,10,12,10,11,4.67,4,4.88,520.78,9,2,29,01.06,0.71,0.94,1,0,1,1,1,1,810,180,2540,90,90,87.59,810,2540,6,9,4.5,3.5,0,5.5,3,4.5,6,5,6,4,0,6,5,3,5,4,4,5.5,5,4.5,0,5,0,3.5,4.5,0,5,6.5,0,6,5.5,5.5,6,4.5,5.5,0,0,0,1,,null,null,null,null,2,2,2,0.8444,483,13,4,56.52,13,null,null,32,15,6,5,32,14,69,3,3,2,null,-1,null,-5,null,3,159,-188,-17.99,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Pallois Nicolas,DC,9,0,,15,1.8,0.6,15,18,9,9,21,21,12,14,5,6,4.81,515.83,6,1,18,0.63,0,0.88,0,0,1,0.67,1,0.89,376,90,1403,62.67,90,77.94,,1403,6,1000,6,0,0,5,0,0,5,0,5,5,4,0,0,4.5,6,4.5,3.5,6,5.5,0,3,5,4.5,3.5,0,0,0,0,0,0,0,0,5.5,5,0,0,0,0,null,,null,null,null,null,1,0,null,0.7979,214,5,1,70,4,null,null,20,8,2,2,28,9,30,null,null,null,null,-1,null,-2,null,null,132.47,-124.33,-11.85,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Hadjam Jaouen,DL,5,-2,,,0.3,,10,10,13,13,16,16,10,10,4.9,5,4.95,475.8,5,3,21,0.22,0,0.63,0,0,0,0,0,0.43,55,16,973,11,5.33,46.33,,,null,1000,5,5,5,0,0,0,0,0,5,0,4.5,5.5,0,0,0,4.5,5,0,6,0,0,5,4.5,3,5.5,5,6,5,5,5,4.5,4.5,5.5,0,0,0,0,0,null,,null,null,null,null,0,0,1,0.8369,56,1,2,40,1,null,null,4,3,5,3,1,4,13,1,1,1,null,-2,null,-4,null,4,28.3,-49.5,-6.62,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Pierre-Gabriel Ronaël,DL,9,2,,9,2.7,1.2,9,9,9,9,9,9,9,9,4.85,5,4.85,514.2,10,1,20,0.82,0,0.83,0,0,1,0.5,0,0.4,488,13,812,48.8,13,40.6,,812,6.5,1000,5,0,5,5,5,5,6,6,4,4,3.5,6.5,0,0,0,0,0,0,0,0,5,0,5,0,5,4,5,5,0,3,0,0,5,0,5,0,0,0,1,,null,null,null,1,5,3,2,0.7602,306,7,9,63.64,3,null,null,9,3,6,5,21,10,54,2,2,3,null,null,null,null,null,5,76.5,-98.3,-11.74,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Duverne Jean-Kévin,DC,11,0,,13,20.42,2.7,11,13,11,14,11,11,11,11,4.58,0,4.81,514,6,0,27,01.02,0,0.75,0,0,0,0.83,0,0.81,466,0,1966,77.67,0,72.81,,,null,1000,0,3,6,5,4,5,4.5,0,0,0,0,4,5,6,6,4,5,4.5,5,5,5,4.5,4.5,5.5,5,5,0,0,6,5,0,4,5,3.5,5,0,0,0,1,,null,null,null,null,1,0,null,0.7637,351,6,10,51.85,10,null,null,18,10,4,2,16,6,65,2,2,6,null,2,null,null,1,8,134.58,-200.08,-17.17,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,Sursis (6sem.)
Zézé Nathan,DC,1,-1,,1,4.2,1.2,1,1,1,1,1,1,2,2,3.5,0,4.5,488,1,0,2,0,0,1.41,0,0,0,1,0,1,90,0,150,90,0,75,,,null,1000,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.8125,38,1,null,33.33,3,null,null,1,null,null,null,2,2,6,null,null,null,null,-1,null,-1,null,null,46.5,-206,-34.5,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Meupiyou Bastien,DL,1,-1,,1,3.6,1.5,1,2,1,1,5,5,2,2,3.5,0,3.5,374,1,0,1,0,0,0,0,0,0,1,0,1,9,0,9,9,0,9,,,null,1000,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,1,7,null,null,,1,null,null,null,1,null,null,1,1,1,null,null,null,null,null,null,null,null,1,13.5,-158,-6.3,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,† CDM U18
Centonze Fabien,DL,3,-2,,7,1.5,0.9,6,8,6,6,6,6,7,8,0,0,5.18,0,0,0,20,0,0,0.91,0,0,0,0,0,0.85,0,0,1516,0,0,75.8,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.5,5,4.5,5,5.5,4.5,5,5,5,4.5,5.5,0,7,7,4.5,5,6.5,5,5,5.5,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
M'Bemba Yannis,DC,1,0,,1,0.6,0.6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Voisine Robin,DC,1,0,,1,0.6,0.6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Acapandié Mathieu,DL,1,0,,1,0.9,0.6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,🏠Hors groupe
Simon Moses,MO,16,3,,24,96.7,68.47,23,28,23,27,30,34,20,29,5.73,5.73,5.29,559.45,11,11,33,1.17,1.17,0.92,2,2,3,1,1,0.82,898,898,2243,81.64,81.64,67.97,449,748,7,8,5.5,4.5,6,5.5,4.5,8,7,7,5.5,5,4.5,4.5,5,3.5,5,5,5,5.5,6,5,4,5,4.5,5,5,5.5,0,0,4.5,5.5,5,5,5.5,5.5,7,0,0,0,2,1,null,1,4,3,17,8,13,0.7372,357,3,1,45.98,6,null,null,14,9,40,31,4,12,109,11,11,15,null,-1,null,-4,4,29,186.51,-97.99,-1.5,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
Mollet Florent,MO,12,3,,16,74.77,42.04,15,18,15,18,14,18,12,14,5.56,0,5.23,532.89,9,0,28,1.33,0,1,2,0,3,0.89,0,0.68,664,0,1753,73.78,0,62.61,332,584,5.5,6,0,3,7,6,5.5,7.5,6,0,4.5,5,5.5,5,5,3.5,5,5,4.5,5.5,5,4.5,3.5,6.5,5,6,5.5,5.5,6,6,4.5,5,0,0,0,0,0,0,0,0,3.5,,null,null,2,null,21,15,5,0.8814,433,1,2,29.82,12,null,null,17,14,15,13,5,9,76,9,9,6,null,null,null,-3,3,10,165.17,-97.5,-0.53,0,FC Nantes,FC Metz,dim. 12/11 15:00,41.66666666666667,0.38366,0.3852,0.39179,
