Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Guendouzi Mattéo,MD,11,-1,,19,33.78,13.51,19,23,,,20,22,29,30,5,5,5.27,497.57,7,7,31,0.41,0.41,0.59,0,0,1,0.57,0.57,0.61,306,306,1571,43.71,43.71,50.68,,1571,6,1000,5.5,5.5,4.5,5,5,5,4.5,0,0,5.5,4.5,0,5,5.5,6.5,0,0,5,6,6,4.5,5.5,5,5,5,5,5.5,5,6.5,6.5,5,0,4.5,5.5,6,0,0,0,1,,null,null,null,null,3,0,1,0.8603,149,1,2,39.29,3,null,null,7,4,3,2,1,4,23,null,null,2,null,2,null,2,null,3,53.43,-40.21,-1.64,0,Lazio,Fiorentina,lun. 30/10 20:45,45.45454545454545,0.64617,0.62398,0.61598
Isaksen Gustav,MO,11,1,,16,27.63,18.42,15,17,16,16,16,18,20,24,4.64,0,4.64,341.71,7,0,7,0.38,0,0.38,0,0,0,0.14,0,0.14,147,0,147,21,0,21,,,null,1000,0,5,5,5,4.5,0,4.5,4.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,1,4,2,2,0.7459,81,null,1,66.67,1,null,null,2,3,3,3,1,4,22,1,1,3,null,null,null,null,null,2,23.31,-12.6,-0.27,0,Lazio,Fiorentina,lun. 30/10 20:45,45.45454545454545,0.64617,0.62398,0.61598
Basic Toma,MD,1,-3,,7,1.35,1.35,7,7,9,9,7,7,7,7,0,0,05.08,0,0,0,18,0,0,0.46,0,0,1,0,0,0.11,0,0,341,0,0,18.94,,341,6.5,1000,0,0,0,0,0,0,0,0,0,0,5,5,5.5,4.5,6.5,0,0,0,5,5.5,4.5,5,0,5,5,0,0,0,5,0,5,5,4.5,5.5,5,5,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Lazio,Fiorentina,lun. 30/10 20:45,45.45454545454545,0.64617,0.62398,0.61598
André Anderson,MO,1,0,,3,1.35,1.35,3,3,,,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Lazio,Fiorentina,lun. 30/10 20:45,45.45454545454545,0.64617,0.62398,0.61598
Immobile Ciro,A,23,-1,,65,97.37,89.47,65,76,63,70,65,73,73,89,4.75,4,4.97,352.13,8,1,29,0.93,0,01.05,2,0,8,0.75,0,0.79,527,10,1941,65.88,10,66.93,264,243,5.5,11.5,4,0,4,5,5.5,5,4,4,6.5,7,6,6.5,6.5,4,5,4,4,5.5,5,4.5,0,0,4.5,4,7.5,4,4.5,4,0,4.5,4.5,6,0,4.5,0,0,0,0,1,1,null,null,null,1,9,6,2,0.7376,239,2,3,34.15,4,null,null,2,2,2,1,null,8,73,5,5,8,null,-1,null,-1,2,18,75.34,-47.55,5.86,4.00,Lazio,Fiorentina,lun. 30/10 20:45,45.45454545454545,0.64617,0.62398,0.61598
Castellanos Valentín,A,12,2,,19,51.32,21.05,20,22,21,22,20,31,15,18,4.88,5.63,5.19,392,8,4,32,1.22,1.38,1.24,1,1,12,0.38,0.75,0.78,296,261,2000,37,65.25,62.5,296,167,6,12,6.5,7,5,4,0,4,4,4,4.5,4,4.5,4.5,4,0,7,6.5,9,0,6,4,5,6,4.5,6,5,6.5,4,4.5,4,4.5,0,4.5,6,6.5,6,4.5,0,0,1,,null,null,2,2,11,6,1,0.6999,150,1,3,45.45,8,null,null,2,4,1,1,5,4,48,7,7,3,null,null,null,null,1,12,74.18,-28.12,03.04,0,Lazio,Fiorentina,lun. 30/10 20:45,45.45454545454545,0.64617,0.62398,0.61598
Pedro,A,9,0,,15,47.26,8.9,15,21,16,19,21,21,15,18,4.64,4.5,4.99,393.43,7,3,34,0.24,0,0.67,0,0,2,0.14,0.33,0.5,161,102,1702,23,34,50.06,,851,6,1000,4.5,4.5,4.5,0,4.5,4.5,5,0,5,5.5,6,5,5,5,5,4.5,5,4.5,4.5,7,5,5,5,5.5,5.5,4.5,6,4.5,6,5.5,4,4,4,6,5,4.5,0,0,null,,null,null,null,1,2,1,null,0.8293,117,1,6,61.9,2,null,null,5,2,1,1,1,4,23,3,3,2,null,null,null,-1,null,4,24.54,-10.8,-0.37,4.50,Lazio,Fiorentina,lun. 30/10 20:45,45.45454545454545,0.64617,0.62398,0.61598
González Diego,A,1,0,,3,1.35,1.35,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Lazio,Fiorentina,lun. 30/10 20:45,45.45454545454545,0.64617,0.62398,0.61598
Falcone Wladimiro,G,14,0,,14,78.95,53.95,14,14,14,14,14,15,14,15,5.44,5.44,5.44,410.33,9,9,36,1.21,1.21,1.11,0,0,0,1,1,1,810,810,3240,90,90,90,,,null,1000,6,4.5,3,6,6,6,7,4.5,6,4.5,7.5,6,5.5,5.5,4.5,7,4,4.5,4,7,5.5,3.5,4.5,5,7,6,6.5,5,4,4,6,5.5,6.5,6,6,6,0,0,2,,null,null,null,null,0,0,null,,null,null,null,,null,15,9,null,null,null,null,null,8,null,null,null,null,11,1,null,-1,null,null,93.39,-49.44,-2,3.50,Lecce,Torino,sam. 28/10 18:00,36.90036900369004,0.35382,0.36045,0.3736
Brancolini Federico,G,7,0,,8,21.62,14.86,7,8,13,13,7,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Lecce,Torino,sam. 28/10 18:00,36.90036900369004,0.35382,0.36045,0.3736
