Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Zhegrova Edon,A,15,4,,18,77.2,13.46,16,22,21,25,15,18,19,24,5.81,6.5,5.85,554.25,8,4,24,1.44,1.58,1.13,1,1,4,0.63,0.75,0.54,483,312,1303,60.38,78,54.29,483,326,7,15,4.5,7.5,8,6,0,5,4,6.5,5,6,0,0,0,5.5,6,6.5,5,0,7,6,0,5,5,0,7,8,5,4.5,7,0,5,5.5,0,0,0,0,0,0,4,,null,null,1,4,18,13,8,0.8474,390,null,4,52.86,4,null,null,10,11,29,21,3,5,90,11,11,8,null,2,null,2,1,18,197.56,-94.75,0.7,0,LOSC,AS Monaco,dim. 29/10 15:00,44.843049327354265,0.57456,0.58687,0.57326,
Virginius Alan,A,5,1,,5,11.96,2.99,5,5,5,6,5,5,5,5,4.75,0,4.5,487.5,2,0,13,0.35,0,0.58,0,0,1,0.5,0,0.15,71,0,261,35.5,0,20.08,,261,6,1000,0,0,4.5,0,0,0,0,0,5,0,0,0,4.5,0,0,0,0,4.5,0,0,4.5,0,0,4,4,4,4,0,6,0,4,5,0,4.5,0,0,0,0,null,,null,null,null,null,0,0,null,0.9167,24,null,1,50,null,null,null,1,null,1,1,null,1,5,1,1,null,null,1,null,2,null,1,26,-19.1,-0.85,4.50,LOSC,AS Monaco,dim. 29/10 15:00,44.843049327354265,0.57456,0.58687,0.57326,
Messoussa Amine,A,1,0,,,0.19,,,,,,,,,,0,0,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,null,1000,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,LOSC,AS Monaco,dim. 29/10 15:00,44.843049327354265,0.57456,0.58687,0.57326,
Lecomte Benjamin,G,17,2,,20,82.8,60.75,19,23,20,24,20,25,17,22,5.44,5.44,5.95,536.13,8,8,30,1.35,1.35,1.24,0,0,0,1,1,1,720,720,2700,90,90,90,,,null,1000,3,0,7,7,5,6,5,6,4.5,6,7,7,5,4,7,7,6,7,5,7,6,6.5,6.5,6,6,3.5,7,8.5,0,0,0,0,0,4.5,7,5.5,0,0,2,,null,null,null,null,0,0,null,,null,null,null,,null,18,12,null,null,null,null,null,11,null,null,null,null,16,-1,1,1,null,null,140,-86.25,-7.95,7.00,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Bertaud Dimitry,G,7,0,,7,28.79,18.69,7,8,7,8,7,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Dizdarevic Belmin,G,3,0,,3,4.67,2.99,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,🏠Hors groupe
Estève Maxime,DC,5,2,,5,8.6,4.11,5,5,5,5,5,5,5,5,6,0,4.82,529,1,0,14,0,0,0.99,0,0,0,1,0,0.93,84,0,1100,84,0,78.57,,,null,1000,0,0,6,0,0,0,0,0,0,5.5,4,6,0,4.5,0,0,0,0,0,0,0,0,5,0,0,4,4,5.5,0,3.5,3.5,6,6,4,0,0,0,0,1,,null,null,null,null,0,0,null,0.7879,55,2,3,50,1,null,null,5,null,null,null,3,null,13,null,null,null,null,1,null,3,null,1,205,-117,-8.1,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Tchato Enzo,DC,3,2,,3,2.43,1.12,3,3,3,3,3,3,3,3,5.5,0,4.77,544,1,0,11,0,0,0.65,0,0,0,0,0,0.36,26,0,446,26,0,40.55,,,null,1000,0,0,5.5,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,5,0,5,3.5,5,5,3.5,0,0,0,0,0,5,0,0,0,null,,null,null,null,null,1,1,null,1,13,null,1,100,null,null,null,null,null,null,null,null,null,null,1,1,null,null,1,null,3,null,null,46,null,0.7,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Kouyaté Kiki,DC,12,2,,12,76.26,26.54,12,13,12,13,12,13,12,12,5.13,5.13,5.3,552.63,8,8,28,0.69,0.69,0.95,0,0,0,1,1,0.96,720,720,2351,90,90,83.96,,,null,1000,4,0,6,5.5,5,5,4.5,5,6,0,3.5,6,5.5,0,6.5,6,4,0,5,6,5.5,6.5,5,6.5,5,4,3.5,0,6.5,5.5,5,0,7,5,0,0,0,0,1.5,,null,null,1,null,4,2,null,0.838,469,9,12,58.33,10,null,null,29,26,null,null,40,11,62,2,2,1,null,-1,null,1,null,3,180.38,-166.25,-14.37,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,Sursis
Sakho Mamadou,DC,5,2,,5,1.87,0.75,5,5,8,8,5,5,5,5,5,0,4.6,522,1,0,10,0,0,0.7,0,0,0,0,0,0.3,6,0,383,6,0,38.3,,,null,1000,0,0,5,0,0,0,0,0,0,0,0,5,0,4,0,0,0,5,4.5,0,0,5,0,0,0,0,0,5.5,3.5,3.5,0,0,0,0,5,0,0,0,null,,null,null,null,null,0,0,null,0.9333,17,null,1,66.67,null,null,null,null,null,null,null,1,null,1,null,null,null,null,1,null,3,null,null,23,-13,-0.4,5.00,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,† Mis à pied (4sem.)
Sainte-Luce Théo,DL,2,1,,2,5.61,3.36,2,2,2,2,2,2,2,2,5,5,4.8,454,1,1,5,0,0,0.57,0,0,0,0,0,0.4,12,12,191,12,12,38.2,,,null,1000,5,0,0,0,0,0,0,0,0,5.5,5,4.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.6667,13,null,null,50,null,null,null,1,1,1,1,null,null,2,null,null,null,null,-1,null,-2,null,null,27.5,-39.5,-1.3,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Mincarelli Lucas,DL,1,-2,,1,0.75,0.19,1,1,1,1,3,3,1,1,5,0,5,492,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,,,null,1000,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,1,3,null,1,100,null,null,null,null,null,null,null,null,1,null,null,null,null,null,null,null,null,null,null,12,-20,-3.2,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,🏠Hors groupe
Sacko Falaye,DL,9,0,,10,34.21,9.35,9,11,9,12,10,11,9,11,4.94,4.94,05.03,519.25,8,8,34,0.68,0.68,0.94,0,0,1,1,1,0.88,694,694,2661,86.75,86.75,78.26,,2661,7,1000,4.5,0,6,5,5.5,4.5,4.5,5.5,4,5,4,7,5,3.5,6,6.5,4.5,4.5,5,6.5,5,6,5,6.5,6.5,5,4.5,4.5,5,3,4.5,5,5,5,3.5,0,0,0,1.5,,null,null,1,null,0,0,null,0.7783,479,15,11,57.63,3,null,null,31,23,11,9,15,11,94,4,4,2,null,-1,null,1,null,6,149.88,-164.69,-18.84,4.50,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Omeragic Becir,DC,9,2,,12,6.54,3.93,9,9,9,14,9,9,9,10,4.86,4.86,4.86,516,7,7,7,0.69,0.69,0.69,0,0,0,0.71,0.71,0.71,482,482,482,68.86,68.86,68.86,,,null,1000,4,0,6,5.5,4.5,4.5,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,null,null,null,null,0,0,null,0.6687,289,6,1,40.74,1,null,null,16,10,1,1,16,5,39,1,1,null,null,-1,null,1,null,2,82.29,-97,-10.19,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Sylla Issiaga,DL,9,-2,,13,53.46,7.85,12,15,14,15,12,13,15,17,4.64,3,05.02,508,7,1,29,1.11,0,1.14,0,0,1,1,1,1,614,78,2514,87.71,78,86.69,,2514,6.5,1000,3,0,0,6.5,4,5,4,5,5,0,0,6,5,4.5,6,5.5,6.5,3.5,6,6,5.5,7,4.5,6,6,4,0,0,4.5,6,6,2.5,4,4,4,0,0,0,0.5,,null,null,null,1,4,3,4,0.7768,398,5,8,46.88,10,null,null,27,14,17,14,11,10,84,6,6,5,null,-2,null,-2,null,13,145,-205.14,-22.11,3.50,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Jullien Christopher,DC,8,-1,,11,21.5,5.42,11,12,9,10,11,11,11,14,4.5,0,4.88,538.33,3,0,26,1.32,0,1.41,0,0,0,1,0,1,239,0,2305,79.67,0,88.65,,,null,1000,0,0,0,0,0,0,3.5,6,4,6,0,0,4.5,1.5,6,7,4.5,4.5,5.5,5.5,5.5,6,5.5,6.5,6,0,3,6.5,4,2,4.5,6,5,5,3,0,0,0,null,,null,null,null,null,1,0,null,0.8267,156,2,3,72.22,1,null,null,7,6,null,null,13,6,21,null,null,null,null,null,null,1,null,1,113.17,-147,-20.3,4.50,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Allix Téo,DC,1,0,,1,0.56,0.37,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,🏠Hors groupe
Mousa Tamari,MO,14,3,,26,97.94,84.67,25,32,26,35,25,32,26,32,6.21,5.83,6.21,586.43,7,3,7,1.47,1.53,1.47,3,0,3,0.86,0.67,0.86,551,196,551,78.71,65.33,78.71,184,184,7,4.67,5.5,0,7.5,4.5,0,5,7,8.5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,null,null,1,4,18,13,6,0.8293,295,2,6,53.25,1,null,null,15,6,9,9,3,9,82,7,7,7,null,-1,null,1,1,22,258.5,-99.24,1.96,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Nordin Arnaud,MO,14,-1,,21,89.53,33.64,20,25,18,24,20,24,22,28,5.7,0,5.69,553.6,5,0,31,1.44,0,1.19,2,0,8,0.6,0,0.77,278,0,1979,55.6,0,63.84,139,247,6,7,0,0,0,0,6,4.5,5.5,8,4.5,7,5,7,5.5,6,9,5.5,5,5.5,7,6,5,7,5.5,6,6,5,6.5,5.5,4,4.5,4.5,7,5,4,4,0,0,0,1,,null,null,1,null,9,4,1,0.923,153,1,null,56.25,2,null,null,7,7,5,5,1,6,28,3,3,6,null,-1,null,null,1,4,168.92,-70.32,4.46,5.50,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,† CUISSE 2
Savanier Téji,MO,24,4,,33,98.88,83.93,32,41,32,40,34,42,25,41,06.06,06.06,6.1,546.88,8,8,29,0.86,0.86,1.23,1,1,10,1,1,1,675,675,2453,84.38,84.38,84.59,675,245,5,24,5.5,0,7.5,5.5,7,5.5,5,6.5,6,8,8,7,0,0,0,4,5,6,5.5,6,6.5,8,0,6,8,0,4.5,6,4,5,7,8,5.5,6,4.5,0,0,0,1.5,1,null,null,2,1,24,15,7,0.7432,561,7,5,53.93,7,null,null,14,23,28,23,2,10,144,25,25,7,null,-1,null,1,1,13,238.81,-122.81,-3.51,6.00,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Khazri Wahbi,MO,14,2,,17,64.3,11.78,15,18,15,20,15,18,14,16,5.31,5.31,5.13,505.88,8,8,26,0.84,0.84,0.99,1,1,3,0.75,0.75,0.77,461,461,1554,57.63,57.63,59.77,461,518,6,14,5,0,5.5,6,7,4.5,4.5,5,5,0,4.5,6,0,0,7.5,6,4,5,5.5,4.5,4.5,6,5,6.5,5,4,0,0,3.5,5,0,0,0,5,3.5,0,0,0,1.5,,null,null,null,null,16,7,1,0.7109,209,null,7,51.61,7,null,null,8,16,3,2,3,6,55,3,3,5,null,-1,null,1,2,10,107.18,-61.3,null,5.00,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Chotard Joris,MD,13,2,,14,47.29,7.48,13,16,13,17,13,15,14,18,5.5,5.5,5.5,487.88,8,8,32,1.44,1.44,01.09,0,0,0,1,1,0.75,704,704,2305,88,88,72.03,,,null,1000,4.5,0,8,5.5,4.5,5,3.5,6.5,6.5,6,4.5,8,5.5,7.5,5,5,4.5,5,6,5.5,6,6,6.5,5.5,5.5,3.5,6,6,5,0,5,5,0,5.5,4,0,0,0,1.5,,null,null,1,1,3,2,2,0.8001,464,11,24,52.81,9,null,null,33,34,6,5,11,11,80,3,3,10,null,-1,1,1,null,6,233.56,-161,-9.24,5.00,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Leroy Léo,MO,11,2,,11,1.12,0.19,11,11,11,11,11,11,11,11,4.93,5,5.24,494.43,7,2,27,0.61,0.71,0.63,0,0,0,0.14,0,0.52,121,24,1167,17.29,12,43.22,,,null,1000,4.5,0,5.5,0,4.5,5,4.5,6,4.5,4.5,5,5.5,0,5,6.5,6,5,4.5,6,0,0,0,0,5.5,5.5,5.5,4.5,6,5,4.5,5.5,6,6,0,5,0,0,0,null,,null,null,1,1,1,0,null,0.7372,93,null,1,48.39,7,null,null,6,8,null,null,4,2,21,2,2,1,null,-1,null,1,1,2,52.5,-41,-2.71,4.50,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,Sursis (5sem.)
Fayad Khalil,MD,8,1,,,,,8,8,8,8,8,8,8,8,4.9,5,05.09,480.6,5,1,22,0.42,0,0.59,0,0,0,0.2,0,0.23,148,32,594,29.6,32,27,,,null,1000,5,0,0,5.5,4.5,0,4.5,0,5,0,0,0,5.5,4.5,5,0,4.5,0,4.5,5.5,5.5,4.5,5.5,5.5,5.5,5,4.5,7,5,0,0,0,5,5,0,0,0,0,0.5,,null,null,null,null,2,2,1,0.8321,71,3,4,50,1,null,null,3,4,2,2,null,2,16,null,null,3,null,-2,null,-4,null,4,42.4,-32,-1.36,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Ferri Jordan,MD,11,2,,13,17.76,2.99,11,13,11,11,12,15,11,14,4.88,4.88,5.27,483.63,8,8,32,0.99,0.99,01.05,0,0,1,0.88,0.88,0.91,623,623,2552,77.88,77.88,79.75,,2552,7,1000,4,0,7,5.5,4.5,5,4.5,4.5,4,5,4.5,7,5.5,4.5,7.5,6,5.5,5.5,0,5.5,6.5,6,5.5,6,6,4.5,5,0,4,2.5,4.5,6.5,5.5,4.5,6,0,0,0,1.5,,null,null,null,null,2,2,4,0.809,516,2,5,42.67,10,null,null,21,25,11,7,6,9,88,7,7,5,null,-1,null,1,null,17,148.19,-140.81,-16.05,5.50,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Delaye Sacha,MO,6,1,,,0.56,,6,6,6,6,6,6,6,6,4.5,0,4.8,457.75,4,0,5,0,0,0.67,0,0,1,0,0,0,15,0,16,3.75,0,3.2,,16,6,1000,0,0,0,4.5,4.5,4.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,null,,null,null,null,null,0,0,1,0.2917,8,null,null,25,2,null,null,1,null,null,null,null,null,3,null,null,null,null,null,null,2,null,1,4,-4.15,-0.2,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,🏠Hors groupe
Gueguin Axel,MO,1,0,,,,,1,1,1,1,1,1,1,1,0,0,4.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,,,null,1000,0,0,0,0,0,0,0,0,0,4.5,0,0,4.5,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,🏠Hors groupe
Bongemba Edvin,MO,1,0,,,,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,🏠Hors groupe
Adams Akor,A,21,3,,36,98.13,80.56,35,42,36,50,35,41,34,41,5.5,5.5,5.5,544.5,8,8,8,1.73,1.73,1.73,5,5,5,1,1,1,617,617,617,77.13,77.13,77.13,123,123,6,4.2,4,0,8.5,4.5,5,3.5,5,6,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,null,null,null,1,18,14,3,0.735,196,2,2,42.86,8,null,null,1,7,6,5,3,9,62,8,8,11,null,-1,null,1,2,17,144.06,-47.97,18.52,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Yeboah Kelvin,A,9,0,,10,15.51,02.06,10,12,9,9,10,12,9,9,4.6,4.6,4.6,456.4,5,5,5,0.22,0.22,0.22,0,0,0,0,0,0,101,101,101,20.2,20.2,20.2,,,null,1000,4.5,0,5,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,4,3,null,0.7978,61,null,1,46.43,6,null,null,5,1,2,2,1,1,19,2,2,3,null,-1,null,null,null,7,30.56,-19.8,-0.58,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Issoufou Yanis,A,1,0,,,,,,,,,,,,,4.5,4.5,4.5,431,1,1,1,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,,,null,1000,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,1,5,null,null,20,1,null,null,1,null,1,null,null,null,2,null,null,1,null,-1,null,-2,null,null,16,-12.8,-0.8,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,
Guermouche Yanis,A,1,0,,1,0.19,0.19,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,🏠Hors groupe
Faye Sérigné,A,1,0,,1,0.56,0.37,1,1,1,1,1,1,1,1,0,0,4.25,0,0,0,2,0,0,0.35,0,0,0,0,0,0,0,0,35,0,0,17.5,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.5,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Montpellier,Toulouse FC,dim. 29/10 15:00,57.80346820809249,0.43276,0.44543,0.45773,🏠Hors groupe
Bulka Marcin,G,17,4,,18,87.48,67.1,17,21,18,24,17,19,18,22,5.89,5.89,5.89,539.11,9,9,9,1.19,1.19,1.19,0,0,0,1,1,1,810,810,810,90,90,90,,,null,1000,6,6,6,8.5,4,5.5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,,null,null,null,null,0,0,null,,null,null,null,,null,10,6,null,null,null,null,null,4,null,null,null,null,10,5,null,6,null,null,112.78,-20,7.28,0,OGC Nice,Clermont,ven. 27/10 21:00,52.35602094240838,0.60842,0.61584,0.60533,
Sirigu Salvatore,G,7,4,,7,4.67,3.74,7,7,7,7,7,7,7,7,0,0,6.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,90,0,0,90,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,OGC Nice,Clermont,ven. 27/10 21:00,52.35602094240838,0.60842,0.61584,0.60533,
Boulhendi Teddy,G,3,-4,,7,22.8,17.57,7,8,7,7,7,8,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,OGC Nice,Clermont,ven. 27/10 21:00,52.35602094240838,0.60842,0.61584,0.60533,
Zelazowski Bartosz,G,3,0,,3,5.42,3.55,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,OGC Nice,Clermont,ven. 27/10 21:00,52.35602094240838,0.60842,0.61584,0.60533,🏠Hors groupe
Atal Youcef,DL,10,0,,15,93.64,74.21,15,18,13,17,15,18,16,20,5.5,0,5.4,523.83,6,0,15,0.84,0,0.76,1,0,2,0.83,0,0.6,362,0,746,60.33,0,49.73,362,373,7,10,0,0,5,5,0,7,6,5,5,0,5,5,5.5,4.5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,6,7,0,0,0,2,,null,null,null,2,4,2,null,0.7613,297,3,3,57.78,3,null,null,11,11,6,5,1,1,34,4,4,3,null,2,null,3,null,5,139.67,-86.33,-6.12,0,OGC Nice,Clermont,ven. 27/10 21:00,52.35602094240838,0.60842,0.61584,0.60533,Suspendu (6sem.)
Todibo Jean-Clair,DC,17,2,,22,96.64,83.18,21,25,22,25,21,25,21,26,5.88,5.93,5.53,559.5,8,7,32,0.69,0.73,0.72,0,0,0,1,1,0.97,698,608,2767,87.25,86.86,86.47,,,null,1000,5.5,6,5.5,6,5.5,7.5,5.5,0,5.5,0,5,5.5,4.5,5.5,0,4,5.5,4.5,5,5.5,4.5,6,6.5,5.5,5.5,6,5.5,6,6,6.5,6,5.5,4,6,5.5,0,0,0,5,,null,null,1,1,3,2,null,0.8921,809,11,11,66.1,4,null,null,32,28,null,null,24,3,74,2,2,1,null,5,null,6,null,6,189.13,-98.5,-3.62,4.00,OGC Nice,Clermont,ven. 27/10 21:00,52.35602094240838,0.60842,0.61584,0.60533,
Dante,DC,15,3,,16,92.34,46.17,15,19,16,20,15,18,15,19,5.67,5.67,5.69,538.78,9,9,35,0.83,0.83,0.96,0,0,1,1,1,1,810,810,3120,90,90,89.14,,3120,7.5,1000,6,7,5.5,6.5,4.5,6,4.5,5.5,5.5,7,6,7,5,5,6,4.5,5,5,5.5,5,3,5,7.5,5.5,7.5,5.5,6,6,5.5,7,4.5,5.5,6,6,6.5,0,0,0,5,,null,null,1,null,3,1,null,0.8941,874,7,6,62.3,10,null,null,46,35,3,3,26,4,77,3,3,1,null,5,null,6,null,2,170.89,-94.89,-2.92,4.50,OGC Nice,Clermont,ven. 27/10 21:00,52.35602094240838,0.60842,0.61584,0.60533,Sursis (4sem.)
