Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J,Dispo@MPGLaurent?
Pallois Nicolas,DC,9,0,,11,17.57,6.36,10,12,10,10,10,13,10,12,4.8,0,4.71,512.2,5,0,19,0.45,0,0.82,0,0,1,0.6,0,0.89,286,0,1457,57.2,0,76.68,,1457,6,1000,0,5,0,0,5,0,5,5,4,0,0,4.5,6,4.5,3.5,6,5.5,0,3,5,4.5,3.5,0,0,0,0,0,0,0,0,5.5,5,0,4,5,0,0,0,null,,null,null,null,null,0,0,null,0.7991,149,4,null,60,3,null,null,16,4,null,null,24,8,20,null,null,null,null,null,null,-1,null,null,103.96,-124,-14.3,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,Sursis
Zézé Nathan,DC,1,-1,,3,7.66,4.3,2,2,2,2,2,2,2,3,3.5,0,4.5,488,1,0,2,0,0,1.41,0,0,0,1,0,1,90,0,150,90,0,75,,,null,1000,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.8125,38,1,null,33.33,3,null,null,1,null,null,null,2,2,6,null,null,null,null,-1,null,-1,null,null,46.5,-206,-34.5,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
Meupiyou Bastien,DL,1,-1,,3,11.78,4.49,2,2,2,2,2,2,2,3,3.5,0,3.5,374,1,0,1,0,0,0,0,0,0,1,0,1,9,0,9,9,0,9,,,null,1000,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,1,7,null,null,,1,null,null,null,1,null,null,1,1,1,null,null,null,null,null,null,null,null,1,13.5,-158,-6.3,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,🏠Hors groupe
Centonze Fabien,DL,3,-2,,7,5.42,2.8,6,8,8,8,6,6,6,9,0,0,5.16,0,0,0,22,0,0,0.86,0,0,0,0,0,0.86,0,0,1646,0,0,74.82,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,3,5.5,5,4.5,5,5.5,4.5,5,5,5,4.5,5.5,0,7,7,4.5,5,6.5,5,5,5.5,0,5,5,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,† Ischios
M'Bemba Yannis,DC,1,0,,1,0.56,0.37,1,1,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,🏠Hors groupe
Voisine Robin,DC,1,0,,1,0.93,0.56,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,🏠Hors groupe
Acapandié Mathieu,DL,1,0,,1,0.93,0.75,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,🏠Hors groupe
Simon Moses,MO,16,3,,19,91.4,44.11,18,23,21,26,17,20,20,25,5.89,5.89,5.3,575.44,9,9,33,1.22,1.22,0.91,2,2,3,1,1,0.82,748,748,2267,83.11,83.11,68.7,374,756,7,8,6,5.5,4.5,8,7,7,5.5,5,4.5,4.5,5,3.5,5,5,5,5.5,6,5,4,5,4.5,5,5,5.5,0,0,4.5,5.5,5,5,5.5,5.5,7,5.5,5,0,0,0,2,1,null,1,4,3,14,8,12,0.7394,288,3,1,43.66,4,null,null,12,8,31,25,3,10,89,10,10,13,null,1,null,1,2,24,201.34,-92.49,-0.98,5.50,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
Mollet Florent,MO,12,3,,12,33.83,5.98,12,13,12,13,12,15,12,14,5.88,6.4,5.31,545.75,8,5,27,0.99,0.82,0.91,2,2,3,0.88,1,0.67,574,410,1663,71.75,82,61.59,287,554,5.5,6,7,6,5.5,7.5,6,0,4.5,5,5.5,5,5,3.5,5,5,4.5,5.5,5,4.5,3.5,6.5,5,6,5.5,5.5,6,6,4.5,5,0,0,0,0,0,0,0,0,0,0,3.5,,null,null,2,null,20,14,5,0.8868,382,1,2,36.96,10,null,null,16,14,12,10,4,7,65,9,9,4,null,1,null,1,3,10,176.06,-79.62,1.23,5.50,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
Chirivella Pedro,MD,11,2,,12,31.4,8.41,11,14,11,12,11,11,14,20,5.33,5.33,5.35,496.67,9,9,24,0.61,0.61,0.8,1,1,1,1,1,0.96,802,802,1886,89.11,89.11,78.58,802,1886,6,11,6.5,5.5,6,5,5.5,5,5,4.5,5,5.5,5.5,0,0,0,0,0,0,0,4.5,0,4.5,0,5,4.5,6,0,4.5,5.5,8,6,0,6,5,5,5,0,0,0,3,,null,null,null,null,3,3,null,0.8923,661,7,9,43.55,7,null,null,22,22,3,2,12,12,77,2,2,4,null,1,null,1,null,9,149.78,-106,-11.43,4.50,FC Nantes,Lens,sam. 28/10 21:00,18.867924528301888,0.40586,0.40135,0.41049,
