Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j10,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Mariño Diego,G,3,-4,,7,02.08,02.08,7,7,7,7,,,7,7,4.5,0,4.75,0,1,0,2,0,0,0.35,0,0,0,1,0,0.5,90,0,135,90,0,67.5,,,null,1000,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,1,1,null,null,null,null,null,null,null,null,null,null,1,-1,null,-2,null,null,62,-80,9.9,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
Martínez Fernando,G,7,0,,7,4.17,02.08,7,7,20,23,16,16,7,7,3,3,5.23,489,1,1,28,0,0,1.31,0,0,0,1,1,1,90,90,2475,90,90,88.39,,,null,1000,3,0,0,0,0,0,0,0,0,0,4.5,6,5.5,6.5,4,4.5,4,7.5,3.5,6,6,4.5,5.5,4.5,5.5,6,2,4.5,6,5.5,5.5,6.5,4,6,6,8,5.5,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,3,null,null,null,null,null,5,null,null,null,null,3,-1,null,-3,null,null,116.5,-290,-183.6,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
Akieme Sergio,DL,9,-1,,11,81.25,29.17,10,12,12,13,13,14,10,10,4.75,0,4.71,350.25,8,0,26,0.46,0,0.71,2,0,3,1,0,0.92,720,0,2028,90,0,78,360,676,5,4.5,0,4,5,0,5,5,5,5,4,5,5,5,4.5,0,0,0,3.5,0,0,0,0,0,0,6.5,5,5,3,4.5,4.5,5.5,3.5,5,4.5,4.5,5.5,4.5,5,0,null,,null,null,null,1,5,4,4,0.8425,489,5,6,54.93,7,null,null,29,13,30,22,14,16,76,7,7,6,null,-5,null,-9,1,9,195.75,-227.44,-22.5,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
Kaiky,DC,8,1,,8,4.17,4.17,8,8,8,8,8,8,8,8,4.17,3.88,4.5,403.83,6,4,12,01.03,0.63,0.83,1,0,1,0.67,0.75,0.5,424,296,565,70.67,74,47.08,424,565,6,8,3,4,4,4.5,0,0,3.5,6,0,0,0,0,0,0,0,0,0,5,0,4,5,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,null,,null,null,null,null,3,2,1,0.779,289,3,4,52.78,6,null,null,6,7,null,null,21,15,42,null,null,null,null,-4,null,-11,null,1,103.37,-196.17,-33.25,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
Houboulang Mendes Houboulang,DL,3,2,,3,8.33,6.25,3,3,,,3,3,3,3,4.75,0,4.18,471,2,0,11,0.35,0,0.78,0,0,0,0.5,0,0.73,77,0,601,38.5,0,54.64,,,null,1000,0,4.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,4.5,0,0,0,0,0,0,2.5,4.5,0,0,4,5,3.5,0,0,4,5,0,null,,null,null,null,null,1,1,null,0.8889,45,null,2,55.56,1,null,null,4,2,2,1,4,3,11,null,null,1,null,-2,null,-7,null,4,71,-124,-12.45,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
Pubill Marc,DL,1,-5,,7,12.5,10.42,6,9,10,10,6,8,6,6,4.63,0,4.63,130.75,4,0,4,0.48,0,0.48,0,0,0,0.75,0,0.75,271,0,271,67.75,0,67.75,,,null,1000,0,0,0,0,0,0,4.5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,1,0,1,0.8089,224,3,8,58.33,2,null,null,9,9,10,9,7,6,41,4,4,2,null,-3,null,-5,null,3,153.5,-199.37,-20.2,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
Pozo Álex,DL,9,-1,,10,27.08,02.08,10,10,9,9,10,10,10,10,4.36,3.75,4.88,341.43,7,4,29,1.14,1.19,0.93,0,0,0,0.43,0.5,0.62,288,199,1721,41.14,49.75,59.34,,,null,1000,3,4.5,5,2.5,0,0,5,0,5.5,5,3.5,6,5,5.5,3,5,0,5.5,5,0,5.5,5,5,6,0,5,0,4.5,4,5.5,5,4.5,5,5,6.5,0,6,0,1,,null,null,null,null,1,1,null,0.7314,224,2,3,46.15,4,null,null,6,3,14,8,5,12,40,5,5,1,null,-6,null,-15,null,2,59,-146.21,-18.77,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
Chumi,DC,8,0,,8,6.25,4.17,8,8,,,8,8,8,8,4.19,4.17,4.46,373,8,3,23,0.65,0.58,0.71,0,0,1,0.88,0.67,0.83,675,225,1865,84.38,75,81.09,,1865,6,1000,4.5,3.5,4.5,0,4.5,4.5,4,5,3,0,0,0,0,0,0,4.5,4,5.5,4.5,0,5,4.5,0,4,3.5,5,4,4,0,0,6,5,0,5.5,0,4,0,0,null,,null,null,null,1,0,0,null,0.8984,436,3,7,48.84,7,null,null,15,13,1,null,21,18,41,2,2,2,null,-5,null,-10,null,6,79.97,-175.81,-27.9,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
González Edgar,DC,8,1,,8,4.17,02.08,8,8,9,9,9,9,8,8,04.07,0,4.75,298.43,7,0,24,0.79,0,0.87,0,0,0,1,0,0.79,534,0,1701,76.29,0,70.88,,,null,1000,0,0,5.5,3,4,4.5,0,3.5,4,4,5,5.5,0,0,5.5,0,3.5,0,4,5.5,4.5,0,6,0,0,0,5,5,5,5,4.5,0,5.5,0,4,6.5,5.5,0,null,,null,null,null,null,3,1,null,0.9118,441,8,6,62.75,5,null,null,14,8,null,null,29,12,42,1,1,1,null,-4,null,-9,1,1,105.57,-205.71,-22.19,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
Montes César,DC,8,-1,,13,16.67,4.17,12,14,,,,,12,14,3.63,3,4.42,502.75,4,1,24,0.75,0,1,0,0,3,1,1,0.92,334,90,1923,83.5,90,80.13,,641,4.5,1000,3,0,0,3,4,4.5,0,0,0,0,4.5,5.5,4.5,5.5,3,5,0,2,5,5,4.5,4.5,4,4,4,5.5,0,0,5.5,3.5,5.5,6,4.5,0,0,0,0,0,null,,null,null,null,null,2,1,2,0.7543,237,1,4,69.23,2,null,null,14,3,1,null,14,13,45,null,null,null,null,-3,null,-8,null,2,104.48,-250.12,-46.05,0,Almería,Las Palmas,sam. 28/10 14:00,44.24778761061947,0.31476,0.31602,0.33071
