Joueur,Poste,Cote,Var cote,Cote prédite,Enchère moy,% achat,% achat tour 1,Q2 Toutes tailles,Q3 Toutes tailles,Q2 à 6 joueurs,Q3 à 6 joueurs,Q2 à 8 joueurs,Q3 à 8 joueurs,Q2 à 10 joueurs,Q3 à 10 joueurs,Note,Note série,Note 1 an,Note M11,Nb match,Nb match série,Nb match 1 an,Variation,Var série,Var 1 an,But,Buts série,Buts 1 an,%Titu,%Titu série,%Titu 1 an,Temps,Tps série,Tps 1 an,Tps moy,Tps moy série,Tps moy 1 an,Min/But,Min/But 1 an,Min note/but,Prix/but,j9,j8,j7,j6,j5,j4,j3,j2,j1,j38,j37,j36,j35,j34,j33,j32,j31,j30,j29,j28,j27,j26,j25,j24,j23,j22,j21,j20,j19,j18,j17,j16,j15,j14,j13,j12,j11,j10,Cleansheet,But/Peno,But/Coup-franc,But/surface,Pass decis.,Occas° créée,Tirs,Tirs cadrés,Corner gagné,%Passes,Ballons,Interceptions,Tacles,%Duel,Fautes,But évité,Action stoppée,Poss Def,Poss Mil,Centres,Centres ratés,Dégagements,But concédé,Ballon perdu,Passe>Tir,Passe perfo,Dépossédé,Plonge&stop,Nb matchs gagnés,Erreur>But,Diff de buts,Grosse occas manquée,Balle non rattrapée,Bonus moy,Malus moy,Index MPGStats,DMI,Club,Prochain opposant,Date,Victoire probable,%Win+12J,%Win+16J,%Win+20J
Christie Ryan,MO,9,0,,10,10.42,4.17,10,10,11,11,9,10,12,12,4.83,4.83,5.2,427.33,9,9,28,1,1,0.8,0,0,0,0.89,0.89,0.71,609,609,1681,67.67,67.67,60.04,,,null,1000,5,5,3,5,6,5.5,4,4,6,4.5,5.5,5.5,5.5,7,6.5,5,5.5,6,6,0,5,5,0,0,0,5,4.5,5,5.5,5,5,5,0,0,0,0,0,0,0.5,,null,null,1,3,9,6,3,0.8056,322,7,5,40.26,10,null,null,9,18,12,8,7,13,70,8,8,12,null,-6,null,-14,null,9,121.94,-126.39,-8.92,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Sinisterra Luis,MO,9,-1,,11,10.42,4.17,11,11,10,10,11,11,,,4.83,0,4.79,449.33,3,0,12,0.29,0,0.66,0,0,2,0,0,0.5,81,0,427,27,0,35.58,,214,5,1000,0,5,5,0,4.5,0,0,0,0,0,0,0,0,0,6.5,4.5,5,5,4,0,4.5,0,0,0,0,4.5,4,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.8466,49,1,2,57.89,4,null,null,1,1,1,1,null,2,9,3,3,null,null,-2,null,-7,null,2,30.37,-14.2,0.23,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Scott Alex,MD,5,-3,,,,,8,8,,,8,8,,,4.5,4.5,4.5,442,1,1,1,0,0,0,0,0,0,1,1,1,57,57,57,57,57,57,,,null,1000,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,0.6667,23,null,2,50,2,null,null,null,null,null,null,null,1,7,null,null,null,null,-1,null,-1,null,null,68,-106.5,-14.6,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Cook Lewis,MD,8,1,,,,,8,8,,,8,8,8,8,4.43,4.43,4.86,461.14,7,7,22,0.89,0.89,0.76,0,0,0,0.86,0.86,0.64,525,525,1311,75,75,59.59,,,null,1000,3.5,4,3.5,4.5,6,4.5,5,0,0,0,4.5,5,4.5,5.5,0,4.5,0,5,0,0,5,5,0,0,0,0,0,5,5,4.5,5,7,5.5,5,0,0,0,0,0.5,,null,null,null,null,2,1,1,0.8555,348,15,9,51.06,8,null,null,16,20,7,7,2,12,55,4,4,4,null,-5,null,-12,null,5,130.43,-159.07,-9.94,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Kilkenny Gavin,MO,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Marcondes Emiliano,MO,1,0,,1,02.08,02.08,1,1,2,2,1,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Adams Tyler,MD,5,-3,,,,,8,8,8,8,8,8,,,0,0,5.5,0,0,0,14,0,0,0.59,0,0,0,0,0,1,0,0,1257,0,0,89.79,,,null,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,4.5,5.5,6,5,6,6,0,4.5,5.5,6,0,0,0,0,null,,null,null,null,null,0,0,null,,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Solanke Dominic,A,14,0,,20,96.88,47.92,18,23,18,20,18,25,19,22,4.78,4.78,4.85,435,9,9,31,1.23,1.23,1.23,4,4,8,1,1,1,805,805,2776,89.44,89.44,89.55,201,347,5.5,3.5,5.5,3,3,6,5,6,4,4.5,6,4,4.5,3.5,4,7,5,4,8,5.5,6.5,4,4,3.5,4,5,5,0,0,0,4,4,4.5,7,6,4.5,0,0,0,0,0.5,,null,1,1,null,24,13,4,0.8129,303,2,1,24.11,11,null,null,7,11,2,1,11,17,112,9,9,27,null,-6,null,-14,2,37,116.51,-88.78,9.97,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Semenyo Antoine,A,8,-1,,9,45.83,9.38,9,10,9,9,9,10,9,10,5,0,4.81,403.17,6,0,16,0.95,0,0.73,1,0,2,0.5,0,0.31,257,0,503,42.83,0,31.44,257,252,6,8,0,0,4,5,0,5,4,6.5,5.5,0,0,0,4.5,6,0,0,0,4.5,4.5,4,5,5,0,5,4.5,4,0,0,0,0,0,0,0,0,0,0,0,0,null,,null,null,null,1,12,9,1,0.8182,125,null,1,30.77,9,null,null,5,6,3,2,1,8,37,1,1,12,null,-4,null,-10,1,4,98.63,-71.73,2.47,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
Ouattara Dango,A,9,1,,11,8.33,02.08,11,12,12,15,11,12,14,16,4.7,4.7,5.4,460.8,5,5,30,0.27,0.27,0.96,0,0,3,0.4,0.4,0.77,193,193,1978,38.6,38.6,65.93,,659,6,1000,4.5,4.5,4.5,5,5,0,0,0,0,4,5,5,5,6,4.5,5,6.5,5.5,5.5,4.5,7,5,3.5,5,6.5,5.5,6.5,0,5,8,6,5.5,6,6.5,6,0,0,0,0.5,,null,null,null,null,5,3,null,0.6534,103,1,4,52.94,2,null,null,2,3,4,3,4,5,29,3,3,2,null,-4,null,-10,1,6,52.86,-41.46,-1.6,0,Bournemouth,Burnley,sam. 28/10 16:00,47.39336492890995,0.30613,0.30675,0.31609
